id,name,description,categories,tile image,Notes,effort,duration
1,Get up and stretch,Physical exercise is effective in improving mood and well-being. The release of endorphins creates good feelings and the increased blood circulation puts the mind and body at a calm alertness. These effects on the body can also help us deal with stress and negative emotions.,"body,energy",Yellow.png (https://dl.airtable.com/.attachments/1bb1df4028b29d7271b6230c5b04b601/5c089c63/Yellow.png),,low,medium
2,Go for a jog,Physical exercise is effective in improving mood and well-being. The release of endorphins creates good feelings and the increased blood circulation puts the mind and body at a calm alertness. These effects on the body can also help us deal with stress and negative emotions.,"body,energy",Yellow.png (https://dl.airtable.com/.attachments/6964995544a7bd10bef3cf75a1f1f291/933c32a9/Yellow.png),,,
3,Practice a yoga pose,Physical exercise is effective in improving mood and well-being. The release of endorphins creates good feelings and the increased blood circulation puts the mind and body at a calm alertness. These effects on the body can also help us deal with stress and negative emotions.,"body,energy",Yellow.png (https://dl.airtable.com/.attachments/e9125bc995e4d2ef4538c4e81ee93875/bbcdf467/Yellow.png),,,
4,Do some light exercise,Physical exercise is effective in improving mood and well-being. The release of endorphins creates good feelings and the increased blood circulation puts the mind and body at a calm alertness. These effects on the body can also help us deal with stress and negative emotions.,"body,energy",Yellow.png (https://dl.airtable.com/.attachments/ae73a216375be2cc5890762bb6209564/cd9e6926/Yellow.png),,,
5,Do some intense exercise,Physical exercise is effective in improving mood and well-being. The release of endorphins creates good feelings and the increased blood circulation puts the mind and body at a calm alertness. These effects on the body can also help us deal with stress and negative emotions.,"body,energy",Yellow.png (https://dl.airtable.com/.attachments/ad5361048f472a07c93b3b942f297a49/adc71b39/Yellow.png),,,
6,Go for a bike ride,Physical exercise is effective in improving mood and well-being. The release of endorphins creates good feelings and the increased blood circulation puts the mind and body at a calm alertness. These effects on the body can also help us deal with stress and negative emotions.,"body,energy",Yellow.png (https://dl.airtable.com/.attachments/e0ea5f5d01d538f33b1286ff663cd6ed/ad36bdd1/Yellow.png),,,
7,Go for a walk,Physical exercise is effective in improving mood and well-being. The release of endorphins creates good feelings and the increased blood circulation puts the mind and body at a calm alertness. These effects on the body can also help us deal with stress and negative emotions.,"body,energy",Yellow.png (https://dl.airtable.com/.attachments/4ee75e1c21ce70aa5cfc43c73efd8b07/f770aa9e/Yellow.png),,,
57,Walk your dog,Physical exercise is effective in improving mood and well-being. The release of endorphins creates good feelings and the increased blood circulation puts the mind and body at a calm alertness. These effects on the body can also help us deal with stress and negative emotions.,"body,energy",Yellow.png (https://dl.airtable.com/.attachments/4ee75e1c21ce70aa5cfc43c73efd8b07/f770aa9e/Yellow.png),,,
8,Dance to your favourite song,Physical exercise is effective in improving mood and well-being. The release of endorphins creates good feelings and the increased blood circulation puts the mind and body at a calm alertness. These effects on the body can also help us deal with stress and negative emotions.,"body,energy",Yellow.png (https://dl.airtable.com/.attachments/349e7983ad215134226726fed561e8dc/84bfae16/Yellow.png),,,
9,Organize an area of your closet,"Clutter and mess can create more stress and anxiety, but by cleaning, organizing, and reducing the clutter, people are able to take control of their environment and create a more relaxing environment that helps them focus better on the more pressing issues in their lives.","cleaning,productive",green-bkgd.png (https://dl.airtable.com/.attachments/647212e8ca4e4782423adaaef040e017/bce801e6/green-bkgd.png),,,
10,Wash the dishes in the sink,"Clutter and mess can create more stress and anxiety, but by cleaning, organizing, and reducing the clutter, people are able to take control of their environment and create a more relaxing environment that helps them focus better on the more pressing issues in their lives.","cleaning,productive",green-bkgd.png (https://dl.airtable.com/.attachments/83c225d8959a2cad955725bea57088de/c25f7fdd/green-bkgd.png),,,
11,Clean an area of your house,"Clutter and mess can create more stress and anxiety, but by cleaning, organizing, and reducing the clutter, people are able to take control of their environment and create a more relaxing environment that helps them focus better on the more pressing issues in their lives.","cleaning,productive",green-bkgd.png (https://dl.airtable.com/.attachments/632f4042e7a40e8454c78cf6f867c4f3/740790d9/green-bkgd.png),,,
12,Start a load of laundry,"Clutter and mess can create more stress and anxiety, but by cleaning, organizing, and reducing the clutter, people are able to take control of their environment and create a more relaxing environment that helps them focus better on the more pressing issues in their lives.","cleaning,productive",green-bkgd.png (https://dl.airtable.com/.attachments/c745ca42a609bc6431007e3d63323a8a/80eede18/green-bkgd.png),,,
13,Fold your laundry,"Clutter and mess can create more stress and anxiety, but by cleaning, organizing, and reducing the clutter, people are able to take control of their environment and create a more relaxing environment that helps them focus better on the more pressing issues in their lives.","cleaning,productive",green-bkgd.png (https://dl.airtable.com/.attachments/0c0de048cbc9ce7d28d329bc34ed7ca1/adae20a6/green-bkgd.png),,,
14,Pick up some things off the floor,"Clutter and mess can create more stress and anxiety, but by cleaning, organizing, and reducing the clutter, people are able to take control of their environment and create a more relaxing environment that helps them focus better on the more pressing issues in their lives.","cleaning,productive",green-bkgd.png (https://dl.airtable.com/.attachments/c99b0faa5f47c4ae4e454fa8816f58bd/6afa883b/green-bkgd.png),,,
15,Practice an instrument,"Being creative can have a meditative effect on the mind. These activities can be a positive distraction and stamp out negative thoughts and emotions with fun. Sometimes we don’t feel like doing it because of anxiety, depression, and stress. Try setting a 20 minute timer to get started, and reassess if you want to keep going.","creative,relax,inspire",Orange.png (https://dl.airtable.com/.attachments/fd7ad32277a45b7ebe075a2fbc4c1230/a6d7fd2c/Orange.png),,,
16,Draw or doodle,"Being creative can have a meditative effect on the mind. These activities can be a positive distraction and stamp out negative thoughts and emotions with fun. Sometimes we don’t feel like doing it because of anxiety, depression, and stress. Try setting a 20 minute timer to get started, and reassess if you want to keep going.","creative,relax,inspire",Orange.png (https://dl.airtable.com/.attachments/ec35a1b5cad89d4d651288fc2a64c0ef/ca38e667/Orange.png),,,
17,Fix something that's broken,"Being creative can have a meditative effect on the mind. These activities can be a positive distraction and stamp out negative thoughts and emotions with fun. Sometimes we don’t feel like doing it because of anxiety, depression, and stress. Try setting a 20 minute timer to get started, and reassess if you want to keep going.","creative,productive",Orange.png (https://dl.airtable.com/.attachments/7a91a5b43232e22050b5ee750cede800/20685c91/Orange.png),,,
18,Make some art,"Being creative can have a meditative effect on the mind. These activities can be a positive distraction and stamp out negative thoughts and emotions with fun. Sometimes we don’t feel like doing it because of anxiety, depression, and stress. Try setting a 20 minute timer to get started, and reassess if you want to keep going.","creative,inspire",Orange.png (https://dl.airtable.com/.attachments/cd8c5b1039320b341085b592c91759c5/86b6781a/Orange.png),,,
19,Practice singing a song,"Being creative can have a meditative effect on the mind. These activities can be a positive distraction and stamp out negative thoughts and emotions with fun. Sometimes we don’t feel like doing it because of anxiety, depression, and stress. Try setting a 20 minute timer to get started, and reassess if you want to keep going.","creative,inspire",Orange.png (https://dl.airtable.com/.attachments/a4010aecf926082838144aff5c5cf7e4/c25eb9c4/Orange.png),,,
20,Capture the moment with a photo,"Being creative can have a meditative effect on the mind. These activities can be a positive distraction and stamp out negative thoughts and emotions with fun. Sometimes we don’t feel like doing it because of anxiety, depression, and stress. Try setting a 20 minute timer to get started, and reassess if you want to keep going.","creative,inspire",Orange.png (https://dl.airtable.com/.attachments/cb6b58d95ef630d90425b0e0c263746b/f3a84d48/Orange.png),,,
21,Do some crafts,"Being creative can have a meditative effect on the mind. These activities can be a positive distraction and stamp out negative thoughts and emotions with fun. Sometimes we don’t feel like doing it because of anxiety, depression, and stress. Try setting a 20 minute timer to get started, and reassess if you want to keep going.","creative,inspire",Orange.png (https://dl.airtable.com/.attachments/b4e1dfbac11440e7d0423f83ba4ab974/25523631/Orange.png),,,
